participant_id,run,puzzle_id,attempt,pnp,frame
52,2,8,2,0,2023-07-06-140707_52_2_8_2_frames.json
70,1,14,1,0,2023-07-21-081325_70_1_14_1_frames.json
69,1,26,1,0,2023-07-20-080931_69_1_26_1_frames.json
66,1,11,0,0,2023-07-19-141935_66_1_11_0_frames.json
65,2,14,0,0,2023-07-19-141954_65_2_14_0_frames.json
32,1,14,1,0,2022-10-27-080421_32_1_14_1_frames.json
57,2,27,1,0,2023-07-13-145327_57_2_27_1_frames.json
63,2,27,1,0,2023-07-19-085424_63_2_27_1_frames.json
44,2,15,0,0,2022-10-28-133751_44_2_15_0_frames.json
42,2,25,0,0,2022-10-28-131444_42_2_25_0_frames.json
41,2,27,1,0,2022-10-28-091900_41_2_27_1_frames.json
44,2,0,0,0,2022-10-28-133751_44_2_0_0_frames.json
66,2,13,0,0,2023-07-19-145512_66_2_13_0_frames.json
31,1,10,4,0,2022-10-27-080305_31_1_10_4_frames.json
33,1,0,0,0,2022-10-27-092230_33_1_0_0_frames.json
43,2,6,0,0,2022-10-28-134141_43_2_6_0_frames.json
67,2,19,0,0,2023-07-20-083344_67_2_19_0_frames.json
47,1,14,4,0,2022-10-31-135739_47_1_14_4_frames.json
65,2,20,0,0,2023-07-19-141954_65_2_20_0_frames.json
37,1,11,2,0,2022-10-27-133927_37_1_11_2_frames.json
51,1,14,6,0,2023-07-06-084219_51_1_14_6_frames.json
40,1,14,4,0,2022-10-28-084441_40_1_14_4_frames.json
45,2,0,0,0,2022-10-31-093422_45_2_0_0_frames.json
65,2,12,0,0,2023-07-19-141954_65_2_12_0_frames.json
45,1,8,0,0,2022-10-31-085847_45_1_8_0_frames.json
57,1,4,0,0,2023-07-13-141457_57_1_4_0_frames.json
36,1,15,0,0,2022-10-27-134130_36_1_15_0_frames.json
41,1,19,0,0,2022-10-28-084044_41_1_19_0_frames.json
52,2,12,0,0,2023-07-06-140707_52_2_12_0_frames.json
44,2,14,2,0,2022-10-28-133751_44_2_14_2_frames.json
62,2,27,1,0,2023-07-17-094203_62_2_27_1_frames.json
58,1,26,0,0,2023-07-14-080110_58_1_26_0_frames.json
39,1,13,0,0,2022-10-27-134039_39_1_13_0_frames.json
42,2,7,0,0,2022-10-28-131444_42_2_7_0_frames.json
55,2,17,0,0,2023-07-13-082819_55_2_17_0_frames.json
56,1,25,0,0,2023-07-13-140906_56_1_25_0_frames.json
64,1,13,0,0,2023-07-19-112134_64_1_13_0_frames.json
66,2,11,4,0,2023-07-19-145512_66_2_11_4_frames.json
44,2,18,1,0,2022-10-28-133751_44_2_18_1_frames.json
40,1,10,1,0,2022-10-28-084441_40_1_10_1_frames.json
58,1,20,2,0,2023-07-14-080110_58_1_20_2_frames.json
48,2,23,0,0,2022-11-01-092839_48_2_23_0_frames.json
60,1,5,0,0,2023-07-14-081614_60_1_5_0_frames.json
55,1,6,0,0,2023-07-13-080347_55_1_6_0_frames.json
63,2,19,2,0,2023-07-19-085424_63_2_19_2_frames.json
35,2,18,0,0,2022-10-27-120919_35_2_18_0_frames.json
66,1,10,2,0,2023-07-19-141935_66_1_10_2_frames.json
59,1,17,1,0,2023-07-14-080528_59_1_17_1_frames.json
34,2,18,0,0,2022-10-27-105501_34_2_18_0_frames.json
37,2,14,0,0,2022-10-27-140827_37_2_14_0_frames.json
64,1,8,0,0,2023-07-19-112134_64_1_8_0_frames.json
61,1,3,0,0,2023-07-14-141409_61_1_3_0_frames.json
34,1,4,0,0,2022-10-27-103120_34_1_4_0_frames.json
35,2,17,2,0,2022-10-27-120919_35_2_17_2_frames.json
66,2,4,0,0,2023-07-19-145512_66_2_4_0_frames.json
41,2,27,6,0,2022-10-28-091900_41_2_27_6_frames.json
31,2,27,0,0,2022-10-27-083751_31_2_27_0_frames.json
65,1,0,0,0,2023-07-19-131305_65_1_0_0_frames.json
52,1,13,2,0,2023-07-06-133245_52_1_13_2_frames.json
62,2,2,0,0,2023-07-17-094203_62_2_2_0_frames.json
48,2,3,0,0,2022-11-01-092839_48_2_3_0_frames.json
55,1,24,1,0,2023-07-13-081310_55_1_24_1_frames.json
58,1,20,7,0,2023-07-14-080110_58_1_20_7_frames.json
57,2,14,0,0,2023-07-13-145327_57_2_14_0_frames.json
51,2,16,0,0,2023-07-06-092728_51_2_16_0_frames.json
33,2,11,0,0,2022-10-27-100622_33_2_11_0_frames.json
58,1,14,2,0,2023-07-14-080110_58_1_14_2_frames.json
69,2,11,1,0,2023-07-20-083516_69_2_11_1_frames.json
68,2,24,0,0,2023-07-20-084305_68_2_24_0_frames.json
66,1,11,5,0,2023-07-19-141935_66_1_11_5_frames.json
60,2,12,0,0,2023-07-14-090808_60_2_12_0_frames.json
48,2,9,0,0,2022-11-01-092839_48_2_9_0_frames.json
55,1,20,0,0,2023-07-13-081310_55_1_20_0_frames.json
37,1,25,0,0,2022-10-27-133927_37_1_25_0_frames.json
48,2,6,0,0,2022-11-01-092839_48_2_6_0_frames.json
53,2,16,0,0,2023-07-12-105430_53_2_16_0_frames.json
52,1,0,0,0,2023-07-06-133245_52_1_0_0_frames.json
51,1,14,4,0,2023-07-06-084219_51_1_14_4_frames.json
55,1,27,1,0,2023-07-13-081310_55_1_27_1_frames.json
43,2,17,1,0,2022-10-28-134141_43_2_17_1_frames.json
56,2,6,0,0,2023-07-13-145118_56_2_6_0_frames.json
45,1,14,6,0,2022-10-31-085847_45_1_14_6_frames.json
65,1,19,0,0,2023-07-19-133815_65_1_19_0_frames.json
57,2,16,0,0,2023-07-13-145327_57_2_16_0_frames.json
39,1,23,0,0,2022-10-27-134039_39_1_23_0_frames.json
40,2,17,0,0,2022-10-28-090537_40_2_17_0_frames.json
32,1,27,2,0,2022-10-27-080421_32_1_27_2_frames.json
42,2,19,0,0,2022-10-28-131444_42_2_19_0_frames.json
58,1,20,3,0,2023-07-14-080110_58_1_20_3_frames.json
36,2,27,0,0,2022-10-27-141635_36_2_27_0_frames.json
51,2,15,0,0,2023-07-06-092728_51_2_15_0_frames.json
39,1,8,1,0,2022-10-27-134039_39_1_8_1_frames.json
59,1,7,1,0,2023-07-14-080528_59_1_7_1_frames.json
58,1,24,1,0,2023-07-14-080110_58_1_24_1_frames.json
36,2,5,0,0,2022-10-27-141635_36_2_5_0_frames.json
67,1,13,1,0,2023-07-20-080207_67_1_13_1_frames.json
35,1,24,0,0,2022-10-27-113955_35_1_24_0_frames.json
61,2,21,0,0,2023-07-14-144237_61_2_21_0_frames.json
54,1,25,0,0,2023-07-13-080236_54_1_25_0_frames.json
70,1,6,0,0,2023-07-21-081325_70_1_6_0_frames.json
42,1,20,4,0,2022-10-28-125617_42_1_20_4_frames.json
